run_id	dataset_id	model_id	family	seed	split_id	condition_id	metric_name	metric_value	metric_direction	n_features_evaluated	metric_status	not_evaluable_reason
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	DUSP9+SNAI1	gene_wise_spearman	0.8175627022823666	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	ETS2+CEBPE	relative_l2_response_error	0.4514892324608919	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	ETS2+CEBPE	gene_wise_spearman	0.86121741075715585	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	ETS2+CNN1	relative_l2_response_error	0.65775516915659715	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	ETS2+CNN1	gene_wise_spearman	0.77571049135088521	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	ETS2+IGDCC3	relative_l2_response_error	0.8262862017092254	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	ETS2+IGDCC3	gene_wise_spearman	0.80393946303912533	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FEV+CBFA2T3	relative_l2_response_error	0.54739949604629967	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FEV+CBFA2T3	gene_wise_spearman	0.80777250042868554	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FEV+MAP7D1	relative_l2_response_error	0.39059075261772191	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FEV+MAP7D1	gene_wise_spearman	0.75463830768572837	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FOSB+UBASH3B	relative_l2_response_error	1.0568584186496133	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FOSB+UBASH3B	gene_wise_spearman	0.78355924629471241	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FOXA1+FOXF1	relative_l2_response_error	0.53148963484148959	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FOXA1+FOXF1	gene_wise_spearman	0.77372771229694526	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FOXA3+FOXL2	relative_l2_response_error	0.43723498057864246	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FOXA3+FOXL2	gene_wise_spearman	0.8260673126646666	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FOXA3+HOXB9	relative_l2_response_error	0.36137389771390788	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	FOXA3+HOXB9	gene_wise_spearman	0.85619985680721367	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	IGDCC3+MAPK1	relative_l2_response_error	1.0062934109700405	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	IGDCC3+MAPK1	gene_wise_spearman	0.81661718974237496	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	IGDCC3+PRTG	relative_l2_response_error	0.7523276546938551	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	IGDCC3+PRTG	gene_wise_spearman	0.82564895520275383	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	JUN+CEBPA	relative_l2_response_error	0.37515025250172346	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	JUN+CEBPA	gene_wise_spearman	0.91123944679783686	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	KIF18B+KIF2C	relative_l2_response_error	1.1449971771767948	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	KIF18B+KIF2C	gene_wise_spearman	0.46474671129186612	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	KLF1+CEBPA	relative_l2_response_error	0.45904819906034922	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	KLF1+CEBPA	gene_wise_spearman	0.90097952480711063	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	LHX1+MIDEAS	relative_l2_response_error	0.55150969319533472	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	LHX1+MIDEAS	gene_wise_spearman	0.70848691343448056	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	MAP2K3+MIDEAS	relative_l2_response_error	0.5115763499102054	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	MAP2K3+MIDEAS	gene_wise_spearman	0.74648091265342453	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	MAP2K3+SLC38A2	relative_l2_response_error	0.72049553428605528	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	MAP2K3+SLC38A2	gene_wise_spearman	0.66427265613231956	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	MAP2K6+SPI1	relative_l2_response_error	1.2772980095585014	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	MAP2K6+SPI1	gene_wise_spearman	0.79033326376127233	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	MAPK1+TGFBR2	relative_l2_response_error	0.52081575114595302	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	MAPK1+TGFBR2	gene_wise_spearman	0.77209606353335025	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	POU3F2+CBFA2T3	relative_l2_response_error	0.54406723472174934	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	POU3F2+CBFA2T3	gene_wise_spearman	0.74987591025889533	higher_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	POU3F2+FOXL2	relative_l2_response_error	0.40375599751103519	lower_is_better	1931	estimated	
NM-NORMAN-FORMAL-LIN-S245	norman_2019_matched_combination_prediction	pb_linear_additive	linear_additive	245	frozen_test_46	POU3F2+FOXL2	gene_wise_spearman	0.83464916377578302	higher_is_better	1931	estimated	
