analysis_type	partition_id	metric_name	metric_direction	stratum	model_id	n_conditions	mean_metric	oriented_risk	is_winner	aggregate_winner_regret
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	high_additivity_violation_only	pb_sparse_additive_vae	14	0.36283852880610096	-0.36283852880610096	False	0.007924355316059728
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	high_effect_only	pb_biolord_star	14	0.43071820853633425	-0.43071820853633425	False	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	high_effect_only	pb_cpa	14	0.87104355234718756	-0.87104355234718756	False	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	high_effect_only	pb_decoder_only	14	0.8686211460893859	-0.8686211460893859	False	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	high_effect_only	pb_latent_additive	14	0.88988184656169145	-0.88988184656169145	True	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	high_effect_only	pb_linear_additive	14	0.84866771970058685	-0.84866771970058685	False	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	high_effect_only	pb_sparse_additive_vae	14	0.31558003003225099	-0.31558003003225099	False	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	neither_high	pb_biolord_star	16	0.41522268249562005	-0.41522268249562005	False	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	neither_high	pb_cpa	16	0.83274234624228072	-0.83274234624228072	False	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	neither_high	pb_decoder_only	16	0.81310370421034583	-0.81310370421034583	False	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	neither_high	pb_latent_additive	16	0.84909266177022835	-0.84909266177022835	True	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	neither_high	pb_linear_additive	16	0.77818702246756777	-0.77818702246756777	False	0
hard_partition	frozen_two_axis_joint	gene_wise_spearman	higher_is_better	neither_high	pb_sparse_additive_vae	16	0.40544278530387934	-0.40544278530387934	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	high_effect	pb_biolord_star	16	0.91228595580225325	0.91228595580225325	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	high_effect	pb_cpa	16	0.45777138046446703	0.45777138046446703	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	high_effect	pb_decoder_only	16	0.41581322346250577	0.41581322346250577	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	high_effect	pb_latent_additive	16	0.39243357633302944	0.39243357633302944	True	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	high_effect	pb_linear_additive	16	0.45491808046887439	0.45491808046887439	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	high_effect	pb_sparse_additive_vae	16	0.9173208087145196	0.9173208087145196	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	not_high_effect	pb_biolord_star	30	0.88004947660080535	0.88004947660080535	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	not_high_effect	pb_cpa	30	0.50314291982672188	0.50314291982672188	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	not_high_effect	pb_decoder_only	30	0.5083040098068472	0.5083040098068472	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	not_high_effect	pb_latent_additive	30	0.48519881184893998	0.48519881184893998	True	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	not_high_effect	pb_linear_additive	30	0.77039596111958242	0.77039596111958242	False	0
hard_partition	magnitude_only_binary	relative_l2_response_error	lower_is_better	not_high_effect	pb_sparse_additive_vae	30	0.83628649786395581	0.83628649786395581	False	0
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	high_av	pb_biolord_star	16	0.8863240232175873	0.8863240232175873	False	0.018988341004943177
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	high_av	pb_cpa	16	0.57700817490313017	0.57700817490313017	True	0.018988341004943177
hard_partition	additivity_violation_only_binary	relative_l2_response_error	lower_is_better	high_av	pb_decoder_only	16	0.61178771463323034	0.61178771463323034	False	0.018988341004943177
