metric_name	metric_direction	composition_id	lambda_high_av	weight_high_effect	model_id	metric_value	oriented_risk	rank	is_winner	regret
gene_wise_spearman	higher_is_better	lambda_0000	0	1	pb_biolord_star	0.43071820853633425	-0.43071820853633425	5	False	0.45916363802535731
gene_wise_spearman	higher_is_better	lambda_0000	0	1	pb_cpa	0.87104355234718744	-0.87104355234718744	2	False	0.018838294214504114
gene_wise_spearman	higher_is_better	lambda_0000	0	1	pb_decoder_only	0.8686211460893859	-0.8686211460893859	3	False	0.02126070047230566
gene_wise_spearman	higher_is_better	lambda_0000	0	1	pb_latent_additive	0.88988184656169156	-0.88988184656169156	1	True	0
gene_wise_spearman	higher_is_better	lambda_0000	0	1	pb_linear_additive	0.84866771970058708	-0.84866771970058708	4	False	0.041214126861104483
gene_wise_spearman	higher_is_better	lambda_0000	0	1	pb_sparse_additive_vae	0.31558003003225099	-0.31558003003225099	6	False	0.57430181652944057
gene_wise_spearman	higher_is_better	lambda_0001	0.001	0.999	pb_biolord_star	0.43067828683687548	-0.43067828683687548	5	False	0.45904100387488822
gene_wise_spearman	higher_is_better	lambda_0001	0.001	0.999	pb_cpa	0.87090775914679008	-0.87090775914679008	2	False	0.018811531564973616
gene_wise_spearman	higher_is_better	lambda_0001	0.001	0.999	pb_decoder_only	0.86847168484688819	-0.86847168484688819	3	False	0.021247605864875507
gene_wise_spearman	higher_is_better	lambda_0001	0.001	0.999	pb_latent_additive	0.8897192907117637	-0.8897192907117637	1	True	0
gene_wise_spearman	higher_is_better	lambda_0001	0.001	0.999	pb_linear_additive	0.84847341284151168	-0.84847341284151168	4	False	0.041245877870252023
gene_wise_spearman	higher_is_better	lambda_0001	0.001	0.999	pb_sparse_additive_vae	0.31562728853102484	-0.31562728853102484	6	False	0.57409200218073886
gene_wise_spearman	higher_is_better	lambda_0002	0.002	0.998	pb_biolord_star	0.43063836513741671	-0.43063836513741671	5	False	0.45891836972441924
gene_wise_spearman	higher_is_better	lambda_0002	0.002	0.998	pb_cpa	0.87077196594639295	-0.87077196594639295	2	False	0.018784768915443006
gene_wise_spearman	higher_is_better	lambda_0002	0.002	0.998	pb_decoder_only	0.86832222360439049	-0.86832222360439049	3	False	0.021234511257445465
gene_wise_spearman	higher_is_better	lambda_0002	0.002	0.998	pb_latent_additive	0.88955673486183595	-0.88955673486183595	1	True	0
gene_wise_spearman	higher_is_better	lambda_0002	0.002	0.998	pb_linear_additive	0.84827910598243628	-0.84827910598243628	4	False	0.041277628879399675
gene_wise_spearman	higher_is_better	lambda_0002	0.002	0.998	pb_sparse_additive_vae	0.31567454702979869	-0.31567454702979869	6	False	0.57388218783203726
gene_wise_spearman	higher_is_better	lambda_0003	0.0030000000000000001	0.997	pb_biolord_star	0.43059844343795795	-0.43059844343795795	5	False	0.45879573557395015
gene_wise_spearman	higher_is_better	lambda_0003	0.0030000000000000001	0.997	pb_cpa	0.87063617274599558	-0.87063617274599558	2	False	0.018758006265912508
gene_wise_spearman	higher_is_better	lambda_0003	0.0030000000000000001	0.997	pb_decoder_only	0.86817276236189278	-0.86817276236189278	3	False	0.021221416650015312
gene_wise_spearman	higher_is_better	lambda_0003	0.0030000000000000001	0.997	pb_latent_additive	0.88939417901190809	-0.88939417901190809	1	True	0
gene_wise_spearman	higher_is_better	lambda_0003	0.0030000000000000001	0.997	pb_linear_additive	0.84808479912336099	-0.84808479912336099	4	False	0.041309379888547104
gene_wise_spearman	higher_is_better	lambda_0003	0.0030000000000000001	0.997	pb_sparse_additive_vae	0.31572180552857254	-0.31572180552857254	6	False	0.57367237348333555
gene_wise_spearman	higher_is_better	lambda_0004	0.0040000000000000001	0.996	pb_biolord_star	0.43055852173849912	-0.43055852173849912	5	False	0.45867310142348111
gene_wise_spearman	higher_is_better	lambda_0004	0.0040000000000000001	0.996	pb_cpa	0.87050037954559845	-0.87050037954559845	2	False	0.018731243616381787
gene_wise_spearman	higher_is_better	lambda_0004	0.0040000000000000001	0.996	pb_decoder_only	0.86802330111939507	-0.86802330111939507	3	False	0.021208322042585159
gene_wise_spearman	higher_is_better	lambda_0004	0.0040000000000000001	0.996	pb_latent_additive	0.88923162316198023	-0.88923162316198023	1	True	0
gene_wise_spearman	higher_is_better	lambda_0004	0.0040000000000000001	0.996	pb_linear_additive	0.8478904922642857	-0.8478904922642857	4	False	0.041341130897694534
gene_wise_spearman	higher_is_better	lambda_0004	0.0040000000000000001	0.996	pb_sparse_additive_vae	0.31576906402734639	-0.31576906402734639	6	False	0.57346255913463384
gene_wise_spearman	higher_is_better	lambda_0005	0.0050000000000000001	0.995	pb_biolord_star	0.43051860003904041	-0.43051860003904041	5	False	0.45855046727301196
gene_wise_spearman	higher_is_better	lambda_0005	0.0050000000000000001	0.995	pb_cpa	0.87036458634520109	-0.87036458634520109	2	False	0.018704480966851289
gene_wise_spearman	higher_is_better	lambda_0005	0.0050000000000000001	0.995	pb_decoder_only	0.86787383987689737	-0.86787383987689737	3	False	0.021195227435155006
gene_wise_spearman	higher_is_better	lambda_0005	0.0050000000000000001	0.995	pb_latent_additive	0.88906906731205237	-0.88906906731205237	1	True	0
gene_wise_spearman	higher_is_better	lambda_0005	0.0050000000000000001	0.995	pb_linear_additive	0.8476961854052103	-0.8476961854052103	4	False	0.041372881906842074
gene_wise_spearman	higher_is_better	lambda_0005	0.0050000000000000001	0.995	pb_sparse_additive_vae	0.31581632252612024	-0.31581632252612024	6	False	0.57325274478593213
gene_wise_spearman	higher_is_better	lambda_0006	0.0060000000000000001	0.99399999999999999	pb_biolord_star	0.43047867833958164	-0.43047867833958164	5	False	0.45842783312254298
gene_wise_spearman	higher_is_better	lambda_0006	0.0060000000000000001	0.99399999999999999	pb_cpa	0.87022879314480384	-0.87022879314480384	2	False	0.018677718317320791
gene_wise_spearman	higher_is_better	lambda_0006	0.0060000000000000001	0.99399999999999999	pb_decoder_only	0.86772437863439955	-0.86772437863439955	3	False	0.021182132827725075
