dataset_id	split_id	condition_id	model_id	metric_name	metric_direction	family	metric_value	n_registered_runs_collapsed	seed_ids	run_ids
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_biolord_star	relative_l2_response_error	lower_is_better	latent_causal_representation	0.86515814292317106	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_cpa	gene_wise_spearman	higher_is_better	conditional_compositional	0.88283001773045466	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_cpa	relative_l2_response_error	lower_is_better	conditional_compositional	0.32028346706933353	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_decoder_only	gene_wise_spearman	higher_is_better	neural_decoder	0.8852767330460426	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_decoder_only	relative_l2_response_error	lower_is_better	neural_decoder	0.40643307972291698	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_latent_additive	gene_wise_spearman	higher_is_better	latent_additive	0.89239237141853744	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_latent_additive	relative_l2_response_error	lower_is_better	latent_additive	0.28952725746381408	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_linear_additive	gene_wise_spearman	higher_is_better	linear_additive	0.85214489094890755	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_linear_additive	relative_l2_response_error	lower_is_better	linear_additive	0.5089597554387616	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_sparse_additive_vae	gene_wise_spearman	higher_is_better	sparse_additive_vae	0.34198956467479219	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	BPGM+SAMD1	pb_sparse_additive_vae	relative_l2_response_error	lower_is_better	sparse_additive_vae	0.87711439701982274	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_biolord_star	gene_wise_spearman	higher_is_better	latent_causal_representation	0.42448038812680133	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_biolord_star	relative_l2_response_error	lower_is_better	latent_causal_representation	0.90379656721837998	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_cpa	gene_wise_spearman	higher_is_better	conditional_compositional	0.88302513314376163	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_cpa	relative_l2_response_error	lower_is_better	conditional_compositional	0.44722911700129092	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_decoder_only	gene_wise_spearman	higher_is_better	neural_decoder	0.90162112257415283	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_decoder_only	relative_l2_response_error	lower_is_better	neural_decoder	0.28923378612115369	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_latent_additive	gene_wise_spearman	higher_is_better	latent_additive	0.8924132806411913	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_latent_additive	relative_l2_response_error	lower_is_better	latent_additive	0.37865737090068652	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_linear_additive	gene_wise_spearman	higher_is_better	linear_additive	0.86701728396855327	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_linear_additive	relative_l2_response_error	lower_is_better	linear_additive	0.34433362077413615	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_sparse_additive_vae	gene_wise_spearman	higher_is_better	sparse_additive_vae	0.47852413986973052	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CBL+CNN1	pb_sparse_additive_vae	relative_l2_response_error	lower_is_better	sparse_additive_vae	0.86051536309178955	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_biolord_star	gene_wise_spearman	higher_is_better	latent_causal_representation	0.46447603965530521	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_biolord_star	relative_l2_response_error	lower_is_better	latent_causal_representation	0.9057730710958497	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_cpa	gene_wise_spearman	higher_is_better	conditional_compositional	0.90062981433968858	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_cpa	relative_l2_response_error	lower_is_better	conditional_compositional	0.29121213935052981	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_decoder_only	gene_wise_spearman	higher_is_better	neural_decoder	0.90013772814972492	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_decoder_only	relative_l2_response_error	lower_is_better	neural_decoder	0.23837378521199931	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CBL+PTPN12	pb_latent_additive	gene_wise_spearman	higher_is_better	latent_additive	0.90170738786375804	1	245	NM-NORMAN-FORMAL-LAT-S245
