metric_name	metric_direction	full_test_selected_model_id	full_test_selected_metric_value	two_regime_start_model_id	two_regime_switch_model_id	analytical_switch_lambda_high_av	first_grid_switch_lambda_high_av	maximum_selection_regret	interior_pairwise_crossover_count	n_models	n_full_test_conditions	n_high_additivity_violation_only	n_high_effect_only	n_two_regime_conditions	composition_grid_points
gene_wise_spearman	higher_is_better	pb_latent_additive	0.82548762069577064	pb_latent_additive	pb_cpa	0.70390243660255214	0.70399999999999985	0.0079243553160598008	1	6	46	14	14	28	1001
relative_l2_response_error	lower_is_better	pb_latent_additive	0.45293264297384078	pb_latent_additive	pb_cpa	0.81903348373592866	0.81999999999999995	0.017440238531782001	6	6	46	14	14	28	1001
